,frequency,gain,plant,distance
214,228359533.3333333,-47.59274,lilium,20
215,229426166.66666666,-47.5469,lilium,20
216,230492799.99999997,-47.4544,lilium,20
217,231559433.3333333,-47.36191,lilium,20
218,232626066.66666666,-47.26941,lilium,20
219,233692699.99999997,-47.17692,lilium,20
220,234759333.3333333,-47.08442,lilium,20
221,235825966.66666666,-47.0293,lilium,20
222,236892599.99999997,-46.97418,lilium,20
223,237959233.3333333,-46.91906,lilium,20
224,239025866.66666666,-46.86394,lilium,20
225,240092499.99999997,-46.80882,lilium,20
226,241159133.3333333,-46.77047,lilium,20
227,242225766.66666666,-46.73213,lilium,20
228,243292399.99999997,-46.69379,lilium,20
229,244359033.3333333,-46.65545,lilium,20
230,245425666.66666666,-46.61712,lilium,20
231,246492299.99999997,-46.66933,lilium,20
232,247558933.3333333,-46.72154,lilium,20
233,248625566.66666666,-46.77375,lilium,20
234,249692199.99999997,-46.82596,lilium,20
235,250758833.3333333,-46.87818,lilium,20
236,251825466.66666666,-47.09975,lilium,20
237,252892099.99999997,-47.32131,lilium,20
238,253958733.3333333,-47.54288,lilium,20
239,255025366.66666666,-47.76444,lilium,20
240,256091999.99999997,-47.986,lilium,20
241,257158633.3333333,-48.33149,lilium,20
242,258225266.66666666,-48.67699,lilium,20
243,259291899.99999997,-49.02248,lilium,20
244,260358533.3333333,-49.36797,lilium,20
245,261425166.66666666,-49.71346,lilium,20
246,262491799.99999997,-50.03093,lilium,20
247,263558433.3333333,-50.34841,lilium,20
248,264625066.66666666,-50.66588,lilium,20
249,265691699.99999997,-50.98336,lilium,20
250,266758333.3333333,-51.30083,lilium,20
251,267824966.66666666,-51.5027,lilium,20
252,268891600.0,-51.70457,lilium,20
253,269958233.3333333,-51.90645,lilium,20
254,271024866.6666666,-52.10832,lilium,20
255,272091500.0,-52.3102,lilium,20
256,273158133.3333333,-52.57206,lilium,20
257,274224766.6666666,-52.83393,lilium,20
258,275291400.0,-53.0958,lilium,20
259,276358033.3333333,-53.35767,lilium,20
260,277424666.6666666,-53.61954,lilium,20
261,278491300.0,-53.57469,lilium,20
262,279557933.3333333,-53.52985,lilium,20
263,280624566.6666666,-53.485,lilium,20
264,281691200.0,-53.44016,lilium,20
265,282757833.3333333,-53.3953,lilium,20
266,283824466.6666666,-53.26733,lilium,20
267,284891100.0,-53.13935,lilium,20
268,285957733.3333333,-53.01138,lilium,20
269,287024366.6666666,-52.8834,lilium,20
270,288091000.0,-52.75542,lilium,20
271,289157633.3333333,-52.4535,lilium,20
272,290224266.6666666,-52.15157,lilium,20
273,291290900.0,-51.84964,lilium,20
274,292357533.3333333,-51.54771,lilium,20
275,293424166.6666666,-51.24578,lilium,20
276,294490800.0,-50.89729,lilium,20
277,295557433.3333333,-50.5488,lilium,20
278,296624066.6666666,-50.20031,lilium,20
279,297690700.0,-49.85181,lilium,20
280,298757333.3333333,-49.50333,lilium,20
281,299823966.6666666,-49.37745,lilium,20
282,300890600.0,-49.25156,lilium,20
283,301957233.3333333,-49.12568,lilium,20
284,303023866.6666666,-48.99979,lilium,20
285,304090500.0,-48.8739,lilium,20
286,305157133.3333333,-48.91126,lilium,20
287,306223766.6666666,-48.94862,lilium,20
288,307290400.0,-48.98597,lilium,20
289,308357033.3333333,-49.02333,lilium,20
290,309423666.6666666,-49.0607,lilium,20
291,310490300.0,-48.92427,lilium,20
292,311556933.3333333,-48.78785,lilium,20
293,312623566.6666666,-48.65143,lilium,20
294,313690200.0,-48.51501,lilium,20
295,314756833.3333333,-48.37858,lilium,20
296,315823466.6666666,-48.09186,lilium,20
297,316890100.0,-47.80513,lilium,20
298,317956733.3333333,-47.51841,lilium,20
299,319023366.6666666,-47.23169,lilium,20
300,320090000.0,-46.94497,lilium,20
301,321156633.3333333,-46.83217,lilium,20
302,322223266.6666666,-46.71937,lilium,20
303,323289900.0,-46.60657,lilium,20
304,324356533.3333333,-46.49377,lilium,20
305,325423166.6666666,-46.38096,lilium,20
306,326489800.0,-46.18969,lilium,20
307,327556433.3333333,-45.99842,lilium,20
308,328623066.6666666,-45.80715,lilium,20
309,329689700.0,-45.61588,lilium,20
310,330756333.3333333,-45.42461,lilium,20
311,331822966.6666666,-45.28307,lilium,20
312,332889600.0,-45.14153,lilium,20
313,333956233.3333333,-44.99998,lilium,20
314,335022866.6666666,-44.85844,lilium,20
315,336089500.0,-44.71689,lilium,20
316,337156133.3333333,-44.50406,lilium,20
317,338222766.6666666,-44.29122,lilium,20
318,339289400.0,-44.07838,lilium,20
319,340356033.3333333,-43.86554,lilium,20
320,341422666.6666666,-43.65271,lilium,20
321,342489300.0,-43.49549,lilium,20
322,343555933.3333333,-43.33827,lilium,20
323,344622566.6666666,-43.18105,lilium,20
324,345689200.0,-43.02383,lilium,20
325,346755833.3333333,-42.86662,lilium,20
326,347822466.6666666,-42.75346,lilium,20
327,348889100.0,-42.64029,lilium,20
328,349955733.3333333,-42.52712,lilium,20
329,351022366.6666666,-42.41396,lilium,20
330,352089000.0,-42.30079,lilium,20
331,353155633.3333333,-42.31525,lilium,20
332,354222266.6666666,-42.32971,lilium,20
333,355288900.0,-42.34417,lilium,20
334,356355533.3333333,-42.35862,lilium,20
335,357422166.6666666,-42.37309,lilium,20
336,358488800.0,-42.38831,lilium,20
337,359555433.3333333,-42.40353,lilium,20
338,360622066.6666666,-42.41876,lilium,20
339,361688700.0,-42.43398,lilium,20
340,362755333.3333333,-42.4492,lilium,20
341,363821966.6666666,-42.4317,lilium,20
342,364888600.0,-42.4142,lilium,20
343,365955233.3333333,-42.3967,lilium,20
344,367021866.6666666,-42.3792,lilium,20
345,368088500.0,-42.3617,lilium,20
346,369155133.3333333,-42.36269,lilium,20
347,370221766.6666666,-42.36367,lilium,20
348,371288400.0,-42.36465,lilium,20
349,372355033.3333333,-42.36564,lilium,20
350,373421666.6666666,-42.36662,lilium,20
351,374488300.0,-42.38593,lilium,20
352,375554933.3333333,-42.40524,lilium,20
353,376621566.6666666,-42.42456,lilium,20
354,377688200.0,-42.44387,lilium,20
355,378754833.3333333,-42.46318,lilium,20
356,379821466.6666666,-42.54802,lilium,20
357,380888100.0,-42.63286,lilium,20
358,381954733.3333333,-42.7177,lilium,20
359,383021366.6666666,-42.80254,lilium,20
360,384088000.0,-42.88738,lilium,20
361,385154633.3333333,-42.94865,lilium,20
362,386221266.6666666,-43.00993,lilium,20
363,387287900.0,-43.0712,lilium,20
364,388354533.3333333,-43.13247,lilium,20
365,389421166.6666666,-43.19375,lilium,20
366,390487800.0,-43.33065,lilium,20
367,391554433.3333333,-43.46756,lilium,20
368,392621066.6666666,-43.60447,lilium,20
369,393687700.0,-43.74137,lilium,20
370,394754333.3333333,-43.87827,lilium,20
371,395820966.6666666,-44.05657,lilium,20
372,396887600.0,-44.23487,lilium,20
373,397954233.3333333,-44.41317,lilium,20
374,399020866.6666666,-44.59146,lilium,20
375,400087500.0,-44.76976,lilium,20
376,401154133.3333333,-45.09114,lilium,20
377,402220766.6666666,-45.41253,lilium,20
378,403287400.0,-45.73391,lilium,20
379,404354033.3333333,-46.0553,lilium,20
380,405420666.6666666,-46.37669,lilium,20
381,406487300.0,-46.67683,lilium,20
382,407553933.3333333,-46.97698,lilium,20
383,408620566.6666666,-47.27713,lilium,20
384,409687200.0,-47.57728,lilium,20
385,410753833.3333333,-47.87743,lilium,20
386,411820466.6666666,-48.20536,lilium,20
387,412887099.99999994,-48.53328,lilium,20
388,413953733.3333333,-48.86121,lilium,20
389,415020366.6666666,-49.18914,lilium,20
390,416086999.99999994,-49.51706,lilium,20
391,417153633.3333333,-49.59544,lilium,20
392,418220266.6666666,-49.67382,lilium,20
393,419286899.99999994,-49.7522,lilium,20
394,420353533.3333333,-49.83058,lilium,20
395,421420166.6666666,-49.90896,lilium,20
396,422486799.99999994,-50.12424,lilium,20
397,423553433.3333333,-50.33952,lilium,20
398,424620066.6666666,-50.55479,lilium,20
399,425686699.99999994,-50.77007,lilium,20
400,426753333.3333333,-50.98534,lilium,20
401,427819966.6666666,-51.01103,lilium,20
402,428886599.99999994,-51.03672,lilium,20
403,429953233.3333333,-51.06241,lilium,20
404,431019866.6666666,-51.0881,lilium,20
405,432086499.99999994,-51.11379,lilium,20
406,433153133.3333333,-51.13988,lilium,20
407,434219766.6666666,-51.16597,lilium,20
408,435286399.99999994,-51.19205,lilium,20
409,436353033.3333333,-51.21814,lilium,20
410,437419666.6666666,-51.24423,lilium,20
411,438486299.99999994,-51.26673,lilium,20
412,439552933.3333333,-51.28923,lilium,20
413,440619566.6666666,-51.31173,lilium,20
414,441686199.99999994,-51.33422,lilium,20
415,442752833.3333333,-51.35673,lilium,20
416,443819466.6666666,-51.45225,lilium,20
417,444886099.99999994,-51.54777,lilium,20
418,445952733.3333333,-51.64329,lilium,20
419,447019366.6666666,-51.73881,lilium,20
420,448085999.99999994,-51.83433,lilium,20
421,449152633.3333333,-52.04361,lilium,20
422,450219266.6666666,-52.25288,lilium,20
423,451285899.99999994,-52.46216,lilium,20
424,452352533.3333333,-52.67144,lilium,20
425,453419166.6666666,-52.88072,lilium,20
426,454485799.99999994,-52.88113,lilium,20
427,455552433.3333333,-52.88154,lilium,20
428,456619066.6666666,-52.88195,lilium,20
