,frequency,gain,plant,distance
187,199560433.3333333,-38.68208,succulente,8
188,200627066.66666666,-38.42898,succulente,8
189,201693700.0,-38.17589,succulente,8
190,202760333.3333333,-37.92279,succulente,8
191,203826966.66666666,-37.73663,succulente,8
192,204893600.0,-37.55046,succulente,8
193,205960233.3333333,-37.3643,succulente,8
194,207026866.66666666,-37.17813,succulente,8
195,208093499.99999997,-36.99197,succulente,8
196,209160133.3333333,-36.89117,succulente,8
197,210226766.66666666,-36.79037,succulente,8
198,211293399.99999997,-36.68956,succulente,8
199,212360033.3333333,-36.58876,succulente,8
200,213426666.66666666,-36.48795,succulente,8
201,214493299.99999997,-36.32252,succulente,8
202,215559933.3333333,-36.15709,succulente,8
203,216626566.66666666,-35.99166,succulente,8
204,217693199.99999997,-35.82624,succulente,8
205,218759833.3333333,-35.6608,succulente,8
206,219826466.66666666,-35.24923,succulente,8
207,220893099.99999997,-34.83766,succulente,8
208,221959733.3333333,-34.42609,succulente,8
209,223026366.66666666,-34.01452,succulente,8
210,224092999.99999997,-33.60295,succulente,8
211,225159633.3333333,-33.30356,succulente,8
212,226226266.66666666,-33.00417,succulente,8
213,227292899.99999997,-32.70477,succulente,8
214,228359533.3333333,-32.40538,succulente,8
215,229426166.66666666,-32.10599,succulente,8
216,230492799.99999997,-31.91872,succulente,8
217,231559433.3333333,-31.73146,succulente,8
218,232626066.66666666,-31.5442,succulente,8
219,233692699.99999997,-31.35693,succulente,8
220,234759333.3333333,-31.16967,succulente,8
221,235825966.66666666,-30.87588,succulente,8
222,236892599.99999997,-30.58209,succulente,8
223,237959233.3333333,-30.2883,succulente,8
224,239025866.66666666,-29.99451,succulente,8
225,240092499.99999997,-29.70072,succulente,8
226,241159133.3333333,-29.51128,succulente,8
227,242225766.66666666,-29.32184,succulente,8
228,243292399.99999997,-29.1324,succulente,8
229,244359033.3333333,-28.94297,succulente,8
230,245425666.66666666,-28.75353,succulente,8
231,246492299.99999997,-28.5174,succulente,8
232,247558933.3333333,-28.28128,succulente,8
233,248625566.66666666,-28.04515,succulente,8
234,249692199.99999997,-27.80903,succulente,8
235,250758833.3333333,-27.5729,succulente,8
236,251825466.66666666,-27.33845,succulente,8
237,252892099.99999997,-27.10399,succulente,8
238,253958733.3333333,-26.86954,succulente,8
239,255025366.66666666,-26.63509,succulente,8
240,256091999.99999997,-26.40064,succulente,8
241,257158633.3333333,-26.28899,succulente,8
242,258225266.66666666,-26.17735,succulente,8
243,259291899.99999997,-26.0657,succulente,8
244,260358533.3333333,-25.95405,succulente,8
245,261425166.66666666,-25.8424,succulente,8
246,262491799.99999997,-25.7172,succulente,8
247,263558433.3333333,-25.59199,succulente,8
248,264625066.66666666,-25.46679,succulente,8
249,265691699.99999997,-25.34158,succulente,8
250,266758333.3333333,-25.21637,succulente,8
251,267824966.66666666,-25.14895,succulente,8
252,268891600.0,-25.08154,succulente,8
253,269958233.3333333,-25.01412,succulente,8
254,271024866.6666666,-24.9467,succulente,8
255,272091500.0,-24.87929,succulente,8
256,273158133.3333333,-24.81433,succulente,8
257,274224766.6666666,-24.74938,succulente,8
258,275291400.0,-24.68442,succulente,8
259,276358033.3333333,-24.61947,succulente,8
260,277424666.6666666,-24.55451,succulente,8
261,278491300.0,-24.48517,succulente,8
262,279557933.3333333,-24.41582,succulente,8
263,280624566.6666666,-24.34648,succulente,8
264,281691200.0,-24.27713,succulente,8
265,282757833.3333333,-24.20779,succulente,8
266,283824466.6666666,-24.11371,succulente,8
267,284891100.0,-24.01964,succulente,8
268,285957733.3333333,-23.92557,succulente,8
269,287024366.6666666,-23.83149,succulente,8
270,288091000.0,-23.73742,succulente,8
271,289157633.3333333,-23.6441,succulente,8
272,290224266.6666666,-23.55077,succulente,8
273,291290900.0,-23.45745,succulente,8
274,292357533.3333333,-23.36412,succulente,8
275,293424166.6666666,-23.2708,succulente,8
276,294490800.0,-23.15632,succulente,8
277,295557433.3333333,-23.04184,succulente,8
278,296624066.6666666,-22.92736,succulente,8
279,297690700.0,-22.81289,succulente,8
280,298757333.3333333,-22.69841,succulente,8
281,299823966.6666666,-22.53057,succulente,8
282,300890600.0,-22.36274,succulente,8
283,301957233.3333333,-22.1949,succulente,8
284,303023866.6666666,-22.02707,succulente,8
285,304090500.0,-21.85923,succulente,8
286,305157133.3333333,-21.73115,succulente,8
287,306223766.6666666,-21.60306,succulente,8
288,307290400.0,-21.47498,succulente,8
289,308357033.3333333,-21.34689,succulente,8
290,309423666.6666666,-21.21881,succulente,8
291,310490300.0,-21.13271,succulente,8
292,311556933.3333333,-21.04662,succulente,8
293,312623566.6666666,-20.96053,succulente,8
294,313690200.0,-20.87444,succulente,8
295,314756833.3333333,-20.78835,succulente,8
296,315823466.6666666,-20.67679,succulente,8
297,316890100.0,-20.56523,succulente,8
298,317956733.3333333,-20.45367,succulente,8
299,319023366.6666666,-20.34211,succulente,8
300,320090000.0,-20.23055,succulente,8
301,321156633.3333333,-20.06303,succulente,8
302,322223266.6666666,-19.89551,succulente,8
303,323289900.0,-19.72799,succulente,8
304,324356533.3333333,-19.56047,succulente,8
305,325423166.6666666,-19.39294,succulente,8
306,326489800.0,-19.22464,succulente,8
307,327556433.3333333,-19.05634,succulente,8
308,328623066.6666666,-18.88804,succulente,8
309,329689700.0,-18.71974,succulente,8
310,330756333.3333333,-18.55144,succulente,8
311,331822966.6666666,-18.38438,succulente,8
312,332889600.0,-18.21732,succulente,8
313,333956233.3333333,-18.05025,succulente,8
314,335022866.6666666,-17.88319,succulente,8
315,336089500.0,-17.71613,succulente,8
316,337156133.3333333,-17.54968,succulente,8
317,338222766.6666666,-17.38324,succulente,8
318,339289400.0,-17.21679,succulente,8
319,340356033.3333333,-17.05034,succulente,8
320,341422666.6666666,-16.8839,succulente,8
321,342489300.0,-16.73034,succulente,8
322,343555933.3333333,-16.57678,succulente,8
323,344622566.6666666,-16.42323,succulente,8
324,345689200.0,-16.26967,succulente,8
325,346755833.3333333,-16.11612,succulente,8
326,347822466.6666666,-15.96437,succulente,8
327,348889100.0,-15.81263,succulente,8
328,349955733.3333333,-15.66088,succulente,8
329,351022366.6666666,-15.50914,succulente,8
330,352089000.0,-15.3574,succulente,8
331,353155633.3333333,-15.24073,succulente,8
332,354222266.6666666,-15.12406,succulente,8
333,355288900.0,-15.00739,succulente,8
334,356355533.3333333,-14.89073,succulente,8
335,357422166.6666666,-14.77406,succulente,8
336,358488800.0,-14.74044,succulente,8
337,359555433.3333333,-14.70681,succulente,8
338,360622066.6666666,-14.67319,succulente,8
339,361688700.0,-14.63956,succulente,8
340,362755333.3333333,-14.60594,succulente,8
341,363821966.6666666,-14.60878,succulente,8
342,364888600.0,-14.61163,succulente,8
343,365955233.3333333,-14.61448,succulente,8
344,367021866.6666666,-14.61733,succulente,8
345,368088500.0,-14.62018,succulente,8
346,369155133.3333333,-14.66014,succulente,8
347,370221766.6666666,-14.7001,succulente,8
348,371288400.0,-14.74006,succulente,8
349,372355033.3333333,-14.78002,succulente,8
350,373421666.6666666,-14.81997,succulente,8
351,374488300.0,-14.90246,succulente,8
352,375554933.3333333,-14.98495,succulente,8
353,376621566.6666666,-15.06744,succulente,8
354,377688200.0,-15.14993,succulente,8
355,378754833.3333333,-15.23242,succulente,8
356,379821466.6666666,-15.35802,succulente,8
357,380888100.0,-15.48362,succulente,8
358,381954733.3333333,-15.60923,succulente,8
359,383021366.6666666,-15.73483,succulente,8
360,384088000.0,-15.86043,succulente,8
361,385154633.3333333,-16.0064,succulente,8
362,386221266.6666666,-16.15237,succulente,8
363,387287900.0,-16.29834,succulente,8
364,388354533.3333333,-16.4443,succulente,8
365,389421166.6666666,-16.59027,succulente,8
366,390487800.0,-16.70644,succulente,8
367,391554433.3333333,-16.82261,succulente,8
368,392621066.6666666,-16.93878,succulente,8
369,393687700.0,-17.05495,succulente,8
370,394754333.3333333,-17.17113,succulente,8
371,395820966.6666666,-17.3052,succulente,8
372,396887600.0,-17.43928,succulente,8
373,397954233.3333333,-17.57336,succulente,8
374,399020866.6666666,-17.70743,succulente,8
375,400087500.0,-17.84151,succulente,8
376,401154133.3333333,-17.99205,succulente,8
377,402220766.6666666,-18.14259,succulente,8
378,403287400.0,-18.29313,succulente,8
379,404354033.3333333,-18.44367,succulente,8
380,405420666.6666666,-18.59421,succulente,8
381,406487300.0,-18.69094,succulente,8
382,407553933.3333333,-18.78768,succulente,8
383,408620566.6666666,-18.88441,succulente,8
384,409687200.0,-18.98114,succulente,8
385,410753833.3333333,-19.07788,succulente,8
386,411820466.6666666,-19.14246,succulente,8
387,412887099.99999994,-19.20704,succulente,8
388,413953733.3333333,-19.27162,succulente,8
389,415020366.6666666,-19.3362,succulente,8
390,416086999.99999994,-19.40078,succulente,8
391,417153633.3333333,-19.41151,succulente,8
392,418220266.6666666,-19.42225,succulente,8
393,419286899.99999994,-19.43298,succulente,8
394,420353533.3333333,-19.44371,succulente,8
395,421420166.6666666,-19.45444,succulente,8
